batch_amount,liq_amount,rpm,impellerDiameter,solidDensity,Initial_Porosity,Granule_density,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Coarse
900,600,100,0.125,200,0.1,337.3162213,0.000147725,0.00029215,0.001988865,0.144053329,0.144053329,0.866858762,0.866858762,1
900,600,100,0.125,200,0.2,337.308756,0.000126974,0.000243041,0.001964859,0.157366379,0.157366379,0.875671961,0.875671961,1
900,600,100,0.125,200,0.3,337.3128552,8.52763E-05,0.000168182,0.002264642,0.187019173,0.187019173,0.893386142,0.893386142,1
900,600,100,0.125,200,0.4,337.3171139,5.7695E-05,0.000121054,0.00268866,0.218873341,0.218873341,0.908597255,0.908597255,1
900,600,100,0.125,200,0.5,337.3307138,3.98905E-05,9.27626E-05,0.003214269,0.251113099,0.251113099,0.921161107,0.921161107,1
900,600,100,0.125,300,0.1,420.1448637,0.000373409,0.000786894,0.003266484,0.094790568,0.094790568,0.805847728,0.805847728,1
900,600,100,0.125,300,0.2,420.1473198,0.000342427,0.000678812,0.002507818,0.097728086,0.097728086,0.811794231,0.811794231,1
900,600,100,0.125,300,0.3,420.1507812,0.00031154,0.000599646,0.002031146,0.102872298,0.102872298,0.818286388,0.818286388,1
900,600,100,0.125,300,0.4,420.1519176,0.000283058,0.000537491,0.001821269,0.10890459,0.10890459,0.824472952,0.824472952,1
900,600,100,0.125,300,0.5,422.8134693,0.000253526,0.000480824,0.001809302,0.116300129,0.116300129,0.832807413,0.832807413,1
900,600,100,0.125,400,0.1,505.2658897,0.000604282,0.001305361,0.004343173,0.074446511,0.074446511,0.760132997,0.760132997,1
900,600,100,0.125,400,0.2,505.2660755,0.000573476,0.001161027,0.003558032,0.074539101,0.074539101,0.765207126,0.765207126,1
900,600,100,0.125,400,0.3,505.2662933,0.000544474,0.001065457,0.002955771,0.075506078,0.075506078,0.770618666,0.770618666,1
900,600,100,0.125,400,0.4,505.266611,0.000512215,0.000985393,0.002510484,0.077496754,0.077496754,0.776420941,0.776420941,1
900,600,100,0.125,400,0.5,505.2670044,0.00048,0.000914738,0.002190582,0.080654874,0.080654874,0.782328433,0.782328433,1
900,600,100,0.125,500,0.1,587.7213665,0.000883003,0.001915012,0.005372238,0.06413091,0.06413091,0.716813558,0.716813558,1
900,600,100,0.125,500,0.2,587.7215233,0.000833549,0.001706519,0.004583533,0.063335365,0.063335365,0.721810004,0.721810004,1
900,600,100,0.125,500,0.3,587.7216788,0.000797499,0.001577268,0.003942031,0.063008435,0.063008435,0.726829112,0.726829112,1
900,600,100,0.125,500,0.4,587.721857,0.000764591,0.001483932,0.003446582,0.063217252,0.063217252,0.731814336,0.731814336,1
900,600,100,0.125,500,0.5,587.7221138,0.000730296,0.00140259,0.003050361,0.063996175,0.063996175,0.736950258,0.736950258,1
900,600,100,0.125,600,0.1,670.1770447,0.001307378,0.002792812,0.006693543,0.058531171,0.058531171,0.681205818,0.681205818,1
900,600,100,0.125,600,0.2,670.177222,0.001224039,0.002504163,0.005892864,0.057441423,0.057441423,0.68539373,0.68539373,1
900,600,100,0.125,600,0.3,670.1773901,0.001164086,0.002310687,0.005194087,0.056512541,0.056512541,0.690014891,0.690014891,1
900,600,100,0.125,600,0.4,670.1775517,0.00111266,0.002170441,0.004621795,0.055934306,0.055934306,0.694636608,0.694636608,1
900,600,100,0.125,600,0.5,670.1777081,0.001065336,0.002058006,0.004159228,0.055743946,0.055743946,0.699231161,0.699231161,1
900,600,100,0.125,700,0.1,752.6327346,0.00180951,0.003800481,0.00810726,0.054603786,0.054603786,0.652748829,0.652748829,1
900,600,100,0.125,700,0.2,752.6328321,0.001711928,0.003479984,0.007359522,0.053589739,0.053589739,0.655999122,0.655999122,1
900,600,100,0.125,700,0.3,752.6329335,0.001637609,0.003246447,0.006667237,0.052598157,0.052598157,0.659699504,0.659699504,1
900,600,100,0.125,700,0.4,752.6330367,0.001568595,0.003061164,0.006045223,0.051730695,0.051730695,0.663787754,0.663787754,1
900,600,100,0.125,700,0.5,752.6331393,0.001503802,0.002908074,0.005510004,0.051125725,0.051125725,0.66803608,0.66803608,1
900,600,200,0.125,200,0.1,312.8116915,0.094945575,0.186297091,0.263832675,0.404730269,0.404730269,0.953691705,0.953691705,1
900,600,200,0.125,200,0.2,312.8203398,0.090142425,0.176896033,0.249668527,0.398444472,0.398444472,0.954302834,0.954302834,1
900,600,200,0.125,200,0.3,312.8131053,0.078486276,0.153497844,0.215687369,0.385324742,0.385324742,0.955926713,0.955926713,1
900,600,200,0.125,200,0.4,312.8141824,0.067866249,0.132265294,0.185247753,0.379286516,0.379286516,0.957975203,0.957975203,1
900,600,200,0.125,200,0.5,312.8152584,0.058469269,0.113544776,0.158779776,0.379676082,0.379676082,0.960307407,0.960307407,1
900,600,200,0.125,300,0.1,398.7117082,0.124519107,0.245209008,0.351269789,0.469650274,0.469650274,0.947368767,0.947368767,1
900,600,200,0.125,300,0.2,398.7155782,0.122032716,0.240612035,0.34463721,0.463580898,0.463580898,0.947374393,0.947374393,1
900,600,200,0.125,300,0.3,398.715753,0.119122434,0.235121486,0.336713873,0.457135598,0.457135598,0.947408121,0.947408121,1
900,600,200,0.125,300,0.4,398.7120371,0.116324003,0.229775258,0.328745038,0.451103932,0.451103932,0.947472743,0.947472743,1
900,600,200,0.125,300,0.5,398.7159974,0.113211646,0.223736294,0.319409385,0.444570665,0.444570665,0.947658276,0.947658276,1
900,600,200,0.125,400,0.1,484.611447,0.13559243,0.267783636,0.386024123,0.501595386,0.501595386,0.946220842,0.946220842,1
900,600,200,0.125,400,0.2,484.6114626,0.134411378,0.265730714,0.382874261,0.497964438,0.497964438,0.946290429,0.946290429,1
900,600,200,0.125,400,0.3,484.6114806,0.132997126,0.263174679,0.379190415,0.49403938,0.49403938,0.946328325,0.946328325,1
900,600,200,0.125,400,0.4,484.6115073,0.131323217,0.26007225,0.374794498,0.489698347,0.489698347,0.946332282,0.946332282,1
900,600,200,0.125,400,0.5,484.6115424,0.129509686,0.256651965,0.369920861,0.48526685,0.48526685,0.946322403,0.946322403,1
900,600,200,0.125,500,0.1,570.5093332,0.147929887,0.293413834,0.425502464,0.543746087,0.543746087,0.945055282,0.945055282,1
900,600,200,0.125,500,0.2,570.5093423,0.146953546,0.291599054,0.422608001,0.539807994,0.539807994,0.944997141,0.944997141,1
900,600,200,0.125,500,0.3,570.5093545,0.145880773,0.289608436,0.419622606,0.535944333,0.535944333,0.944945675,0.944945675,1
900,600,200,0.125,500,0.4,570.50937,0.144705838,0.287412083,0.416461868,0.532074738,0.532074738,0.944894798,0.944894798,1
900,600,200,0.125,500,0.5,570.5093899,0.143387347,0.284928049,0.412961403,0.528025621,0.528025621,0.944830832,0.944830832,1
900,600,200,0.125,600,0.1,656.4073669,0.157391111,0.312849027,0.453806432,0.575970942,0.575970942,0.945166985,0.945166985,1
900,600,200,0.125,600,0.2,656.4073681,0.156664184,0.311645586,0.451860201,0.573008125,0.573008125,0.945091344,0.945091344,1
900,600,200,0.125,600,0.3,656.4073708,0.155779051,0.310119027,0.449644459,0.569834208,0.569834208,0.945002612,0.945002612,1
900,600,200,0.125,600,0.4,656.4073759,0.154833262,0.30843389,0.447293776,0.566596765,0.566596765,0.944911829,0.944911829,1
900,600,200,0.125,600,0.5,656.4073832,0.153825018,0.306585744,0.444780698,0.563286638,0.563286638,0.944817725,0.944817725,1
900,600,200,0.125,700,0.1,742.305472,0.160620055,0.320621358,0.468739186,0.595995547,0.595995547,0.945494236,0.945494236,1
900,600,200,0.125,700,0.2,742.3054688,0.16046733,0.320330484,0.467863431,0.594242925,0.594242925,0.945472474,0.945472474,1
