batch_amount,liq_amount,rpm,impellerDiameter,solidDensity,Initial_Porosity,Granule_density,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Coarse
900,600,600,0.75,200,0.1,367.9650132,0.863733285,0.997996975,0.999998091,1,1,1,1,1
900,600,600,0.75,200,0.2,367.9736107,0.861700793,0.997713022,0.999997286,1,1,1,1,1
900,600,600,0.75,200,0.3,367.9643559,0.866248688,0.997873935,0.999997526,1,1,1,1,1
900,600,600,0.75,200,0.4,367.9703278,0.861568082,0.99768563,0.999997144,1,1,1,1,1
900,600,600,0.75,200,0.5,367.963225,0.867775531,0.997966297,0.999997767,1,1,1,1,1
900,600,600,0.75,300,0.5,446.9627722,0.855266469,0.997430552,0.999996639,1,1,1,1,1
900,600,600,0.75,400,0.1,525.9744888,0.863477035,0.997738642,0.999997259,1,1,1,1,1
900,600,600,0.75,400,0.2,525.9734765,0.863894402,0.997754653,0.999997291,1,1,1,1,1
900,600,600,0.75,400,0.5,525.9726859,0.855877335,0.997389867,0.999996454,1,1,1,1,1
900,600,600,0.75,500,0.1,604.9765599,0.850998282,0.997152303,0.999995882,1,1,1,1,1
900,600,600,0.75,500,0.2,604.9746035,0.852327148,0.997252773,0.999996214,1,1,1,1,1
900,600,600,0.75,500,0.3,604.9766991,0.852353578,0.997254477,0.999996219,1,1,1,1,1
900,600,600,0.75,500,0.4,604.9752356,0.852366089,0.997254705,0.99999622,1,1,1,1,1
900,600,600,0.75,500,0.5,604.9761483,0.851157865,0.997168453,0.999995944,1,1,1,1,1
900,700,600,0.75,200,0.1,367.9580726,0.850089139,0.997227821,0.999996206,1,1,1,1,1
900,700,600,0.75,200,0.3,367.9627085,0.855943569,0.997358412,0.999996206,1,1,1,1,1
900,700,600,0.75,200,0.5,367.9595286,0.852924506,0.997239008,0.999995956,1,1,1,1,1
900,700,600,0.75,300,0.1,446.9697454,0.858919446,0.99758121,0.999996965,1,1,1,1,1
1000,600,306,0.75,200,0.3,362.0856156,0.897847045,0.991849063,0.999958826,0.999999988,1,1,1,1
1000,600,306,0.75,200,0.4,362.0856318,0.897979263,0.991851753,0.999958802,0.999999988,1,1,1,1
1000,600,306,0.75,200,0.5,362.0856453,0.898089396,0.991853958,0.999958781,0.999999988,1,1,1,1
1000,600,400,0.75,200,0.3,362.0972462,0.911167295,0.99652456,0.999991342,0.999999999,1,1,1,1
1000,600,400,0.75,200,0.4,362.0972233,0.911070141,0.996525383,0.999991351,0.999999999,1,1,1,1
1000,600,600,0.75,200,0.1,362.1172063,0.864681632,0.997863625,0.999997613,1,1,1,1,1
1000,600,600,0.75,200,0.2,362.1182933,0.864533857,0.997832628,0.999997531,1,1,1,1,1
1000,600,600,0.75,200,0.3,362.1102006,0.872307663,0.998150604,0.999998136,1,1,1,1,1
1000,600,600,0.75,200,0.4,362.1201108,0.865303084,0.997965668,0.999997921,1,1,1,1,1
1000,600,600,0.75,200,0.5,362.1190884,0.864366758,0.997845398,0.999997574,1,1,1,1,1
1000,600,600,0.75,300,0.1,441.851305,0.851398964,0.997287985,0.999996474,1,1,1,1,1
1000,600,600,0.75,300,0.2,441.8474534,0.866838179,0.997869576,0.999997481,1,1,1,1,1
1000,600,600,0.75,300,0.3,441.8500477,0.8598296,0.997602672,0.999996963,1,1,1,1,1
1000,600,600,0.75,300,0.4,441.8511201,0.855726646,0.997431314,0.999996617,1,1,1,1,1
1000,600,600,0.75,300,0.5,441.8501826,0.850449183,0.99728401,0.999996454,1,1,1,1,1
1000,600,600,0.75,500,0.2,601.3234359,0.851602842,0.997191247,0.999995998,1,1,1,1,1
1000,600,600,0.75,500,0.3,601.3221293,0.855241664,0.997383787,0.999996494,1,1,1,1,1
1000,600,600,0.75,500,0.5,601.3221938,0.85429501,0.99735794,0.999996467,1,1,1,1,1
1000,700,600,0.75,200,0.3,362.1188942,0.853690345,0.997510078,0.999997051,1,1,1,1,1
1200,600,306,0.75,200,0.1,362.083154,0.899887059,0.992422243,0.999963251,0.999999989,1,1,1,1
1200,600,306,0.75,200,0.2,362.0831536,0.899861344,0.992418041,0.999963219,0.999999989,1,1,1,1
1200,600,306,0.75,200,0.3,362.0831531,0.899826988,0.992412426,0.999963176,0.999999989,1,1,1,1
1200,600,306,0.75,200,0.4,362.0831525,0.899784775,0.992405526,0.999963123,0.999999989,1,1,1,1
1200,600,306,0.75,200,0.5,362.0831518,0.899734542,0.992397314,0.999963059,0.999999989,1,1,1,1
1200,600,400,0.75,200,0.1,362.0945307,0.913750059,0.996932908,0.999992593,0.999999999,1,1,1,1
1200,600,400,0.75,200,0.2,362.0945305,0.913705654,0.996930453,0.999992584,0.999999999,1,1,1,1
1200,600,400,0.75,200,0.3,362.0945303,0.913639454,0.996926794,0.999992571,0.999999999,1,1,1,1
1200,600,400,0.75,200,0.4,362.0945299,0.913549047,0.996921798,0.999992554,0.999999999,1,1,1,1
1200,600,400,0.75,200,0.5,362.0945294,0.913430487,0.996915245,0.999992531,0.999999999,1,1,1,1
1200,600,500,0.75,200,0.1,362.1020982,0.935896274,0.998685674,0.999998115,1,1,1,1,1
1200,600,500,0.75,200,0.2,362.1034515,0.935872799,0.998683714,0.99999811,1,1,1,1,1
1200,600,500,0.75,200,0.3,362.1023338,0.935798616,0.998680612,0.999998102,1,1,1,1,1
1200,600,500,0.75,200,0.4,362.1037001,0.935653467,0.998674894,0.99999809,1,1,1,1,1
1200,600,500,0.75,200,0.5,362.1370382,1,1,1,1,1,1,1,1
1200,600,500,0.125,200,0.5,362.1370382,1,1,1,1,1,1,1,1
1200,600,500,0.175,200,0.5,362.1370382,1,1,1,1,1,1,1,1
