batch_amount,liq_amount,rpm,impellerDiameter,solidDensity,Initial_Porosity,Granule_density,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Coarse
900,600,100,0.125,200,0.1,337.3162213,0.000147725,0.00029215,0.001988865,0.144053329,0.144053329,0.866858762,0.866858762,1
900,600,100,0.125,200,0.2,337.308756,0.000126974,0.000243041,0.001964859,0.157366379,0.157366379,0.875671961,0.875671961,1
900,600,100,0.125,200,0.3,337.3128552,8.52763E-05,0.000168182,0.002264642,0.187019173,0.187019173,0.893386142,0.893386142,1
900,600,100,0.125,300,0.1,420.1448637,0.000373409,0.000786894,0.003266484,0.094790568,0.094790568,0.805847728,0.805847728,1
900,600,100,0.125,300,0.2,420.1473198,0.000342427,0.000678812,0.002507818,0.097728086,0.097728086,0.811794231,0.811794231,1
900,600,100,0.125,300,0.3,420.1507812,0.00031154,0.000599646,0.002031146,0.102872298,0.102872298,0.818286388,0.818286388,1
900,600,100,0.125,300,0.4,420.1519176,0.000283058,0.000537491,0.001821269,0.10890459,0.10890459,0.824472952,0.824472952,1
900,600,100,0.125,300,0.5,422.8134693,0.000253526,0.000480824,0.001809302,0.116300129,0.116300129,0.832807413,0.832807413,1
900,600,100,0.125,400,0.1,505.2658897,0.000604282,0.001305361,0.004343173,0.074446511,0.074446511,0.760132997,0.760132997,1
900,600,100,0.125,400,0.2,505.2660755,0.000573476,0.001161027,0.003558032,0.074539101,0.074539101,0.765207126,0.765207126,1
900,600,100,0.125,400,0.3,505.2662933,0.000544474,0.001065457,0.002955771,0.075506078,0.075506078,0.770618666,0.770618666,1
900,600,100,0.125,400,0.4,505.266611,0.000512215,0.000985393,0.002510484,0.077496754,0.077496754,0.776420941,0.776420941,1
900,600,100,0.125,400,0.5,505.2670044,0.00048,0.000914738,0.002190582,0.080654874,0.080654874,0.782328433,0.782328433,1
900,600,100,0.125,500,0.1,587.7213665,0.000883003,0.001915012,0.005372238,0.06413091,0.06413091,0.716813558,0.716813558,1
900,600,100,0.125,500,0.2,587.7215233,0.000833549,0.001706519,0.004583533,0.063335365,0.063335365,0.721810004,0.721810004,1
900,600,100,0.125,500,0.3,587.7216788,0.000797499,0.001577268,0.003942031,0.063008435,0.063008435,0.726829112,0.726829112,1
900,600,100,0.125,500,0.4,587.721857,0.000764591,0.001483932,0.003446582,0.063217252,0.063217252,0.731814336,0.731814336,1
900,600,100,0.125,500,0.5,587.7221138,0.000730296,0.00140259,0.003050361,0.063996175,0.063996175,0.736950258,0.736950258,1
900,600,100,0.125,600,0.1,670.1770447,0.001307378,0.002792812,0.006693543,0.058531171,0.058531171,0.681205818,0.681205818,1
900,600,100,0.125,600,0.2,670.177222,0.001224039,0.002504163,0.005892864,0.057441423,0.057441423,0.68539373,0.68539373,1
900,600,100,0.125,600,0.3,670.1773901,0.001164086,0.002310687,0.005194087,0.056512541,0.056512541,0.690014891,0.690014891,1
900,600,100,0.125,600,0.4,670.1775517,0.00111266,0.002170441,0.004621795,0.055934306,0.055934306,0.694636608,0.694636608,1
900,600,100,0.125,600,0.5,670.1777081,0.001065336,0.002058006,0.004159228,0.055743946,0.055743946,0.699231161,0.699231161,1
900,600,100,0.125,700,0.1,752.6327346,0.00180951,0.003800481,0.00810726,0.054603786,0.054603786,0.652748829,0.652748829,1
900,600,100,0.125,700,0.2,752.6328321,0.001711928,0.003479984,0.007359522,0.053589739,0.053589739,0.655999122,0.655999122,1
900,600,100,0.125,700,0.3,752.6329335,0.001637609,0.003246447,0.006667237,0.052598157,0.052598157,0.659699504,0.659699504,1
900,600,100,0.125,700,0.4,752.6330367,0.001568595,0.003061164,0.006045223,0.051730695,0.051730695,0.663787754,0.663787754,1
900,600,100,0.125,700,0.5,752.6331393,0.001503802,0.002908074,0.005510004,0.051125725,0.051125725,0.66803608,0.66803608,1
900,600,100,0.175,200,0.1,340.5240954,0.004614627,0.008832232,0.013729437,0.155683058,0.155683058,0.868198118,0.868198118,1
900,600,100,0.175,200,0.2,340.5156085,0.004073552,0.007789134,0.0122912,0.167348466,0.167348466,0.876727205,0.876727205,1
900,600,100,0.175,200,0.3,340.5176973,0.003002338,0.005700192,0.009815913,0.19393405,0.19393405,0.893977583,0.893977583,1
900,600,100,0.175,300,0.1,422.9527301,0.009568928,0.018474126,0.028019653,0.121559202,0.121559202,0.810652864,0.810652864,1
900,600,100,0.175,300,0.2,422.9543579,0.0089891,0.017352192,0.02580601,0.122753397,0.122753397,0.816087326,0.816087326,1
900,600,100,0.175,300,0.3,422.9563676,0.008358234,0.016150418,0.023724456,0.125941467,0.125941467,0.82204555,0.82204555,1
900,600,100,0.175,300,0.4,422.9566064,0.007766509,0.015027047,0.021988398,0.130122052,0.130122052,0.827822569,0.827822569,1
900,600,100,0.175,300,0.5,422.9428219,0.007129792,0.013814851,0.020329323,0.135527661,0.135527661,0.835729545,0.835729545,1
900,600,100,0.175,400,0.1,505.3784797,0.014026048,0.027231442,0.040667451,0.1149882,0.1149882,0.769970472,0.769970472,1
900,600,100,0.175,400,0.2,505.3785818,0.013570728,0.026303309,0.038761657,0.113727854,0.113727854,0.774462678,0.774462678,1
900,600,100,0.175,400,0.3,505.3787016,0.01304766,0.025295956,0.036888708,0.113153099,0.113153099,0.779262867,0.779262867,1
900,600,100,0.175,400,0.4,505.3788732,0.012449272,0.024158189,0.034977916,0.113356421,0.113356421,0.784410784,0.784410784,1
900,600,100,0.175,400,0.5,505.3790879,0.011837712,0.022995232,0.033138662,0.114631098,0.114631098,0.789674902,0.789674902,1
900,600,100,0.175,500,0.1,587.8150815,0.019163002,0.037349073,0.05518969,0.12080435,0.12080435,0.733997704,0.733997704,1
900,600,100,0.175,500,0.2,587.8152661,0.018597331,0.036180703,0.053015879,0.118354307,0.118354307,0.738117252,0.738117252,1
900,600,100,0.175,500,0.3,587.8154885,0.018030191,0.035067678,0.050989872,0.116363972,0.116363972,0.742290199,0.742290199,1
900,600,100,0.175,500,0.4,587.8155968,0.017467308,0.03398786,0.049123506,0.114910319,0.114910319,0.746455534,0.746455534,1
900,600,100,0.175,500,0.5,587.8157189,0.016871382,0.032854313,0.047272808,0.113912132,0.113912132,0.750767458,0.750767458,1
900,600,100,0.175,600,0.1,670.2518004,0.026094538,0.050805054,0.074422735,0.136555124,0.136555124,0.708583472,0.708583472,1
900,600,100,0.175,600,0.2,670.2518935,0.025355501,0.049341258,0.07191122,0.133415036,0.133415036,0.711640416,0.711640416,1
900,600,100,0.175,600,0.3,670.2519846,0.02458718,0.047872843,0.069410696,0.130342734,0.130342734,0.715068509,0.715068509,1
900,600,100,0.175,600,0.4,670.2520744,0.023835995,0.046456018,0.067057732,0.127640262,0.127640262,0.718545775,0.718545775,1
900,600,100,0.175,600,0.5,670.2521627,0.023114327,0.04509889,0.06486837,0.125372804,0.125372804,0.722035003,0.722035003,1
900,600,100,0.175,700,0.1,752.6885349,0.033125745,0.064708875,0.09456226,0.155469636,0.155469636,0.692167031,0.692167031,1
900,600,100,0.175,700,0.2,752.6885932,0.032487231,0.063369472,0.092271322,0.152546439,0.152546439,0.694240743,0.694240743,1
900,600,100,0.175,700,0.3,752.6886542,0.031750401,0.061915281,0.089825362,0.149425906,0.149425906,0.696636658,0.696636658,1
900,600,100,0.175,700,0.4,752.688717,0.030943585,0.060366248,0.087295593,0.146248931,0.146248931,0.699324731,0.699324731,1
900,600,100,0.175,700,0.5,752.6887793,0.030132357,0.058817897,0.08482614,0.143267148,0.143267148,0.70215796,0.70215796,1
900,700,100,0.125,200,0.1,367.2863242,0.000317755,0.000620473,0.002242231,0.094495351,0.094495351,0.807544661,0.807544661,1
