batch_amount,liq_amount,rpm,impellerDiameter,solidDensity,Initial_Porosity,Granule_density,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Coarse,StDe
900,600,400,0.75,700,0.1,753.1638169,0.648970485,0.981468655,0.999926343,0.999999981,1,1,1,1,0.209065188
900,600,400,0.75,700,0.2,753.164453,0.649740373,0.981308326,0.999922442,0.999999978,1,1,1,1,0.209065365
900,600,400,0.75,700,0.3,753.164453,0.649764935,0.981312129,0.999922512,0.999999978,1,1,1,1,0.209065365
900,600,400,0.75,700,0.4,753.164453,0.649788244,0.981316054,0.999922585,0.999999978,1,1,1,1,0.209065365
900,600,400,0.75,700,0.5,753.164453,0.649743261,0.98132181,0.999922802,0.999999978,1,1,1,1,0.209065365
900,600,500,0.75,400,0.1,506.0151337,0.797871251,0.995199238,0.99999187,0.999999999,1,1,1,1,0.219470326
900,600,500,0.75,400,0.2,506.0149201,0.793250021,0.994931723,0.99999115,0.999999999,1,1,1,1,0.219470233
900,600,500,0.75,400,0.3,506.0160479,0.799101599,0.995180952,0.999991548,0.999999999,1,1,1,1,0.219470722
900,600,500,0.75,400,0.4,506.0148785,0.79047932,0.994768733,0.999990707,0.999999999,1,1,1,1,0.219470215
900,600,500,0.75,400,0.5,506.0120941,0.789092574,0.994672269,0.999990415,0.999999999,1,1,1,1,0.219469007
900,600,500,0.75,500,0.1,588.344765,0.783116866,0.994034484,0.999987779,0.999999998,1,1,1,1,0.255178568
900,600,500,0.75,500,0.2,588.3450007,0.78329647,0.994051208,0.999987853,0.999999998,1,1,1,1,0.25517867
900,600,500,0.75,500,0.3,588.3453137,0.783472799,0.994076092,0.999987987,0.999999998,1,1,1,1,0.255178806
900,600,500,0.75,500,0.4,588.345472,0.783534742,0.994083256,0.999988024,0.999999998,1,1,1,1,0.255178875
900,600,500,0.75,500,0.5,588.3461418,0.783625798,0.994095648,0.999988091,0.999999998,1,1,1,1,0.255179165
900,600,500,0.75,600,0.1,670.675886,0.773687702,0.993138919,0.999984035,0.999999997,1,1,1,1,0.290887456
900,600,500,0.75,600,0.2,670.675886,0.77371897,0.993139729,0.999984035,0.999999997,1,1,1,1,0.290887456
900,600,500,0.75,600,0.3,670.675852,0.773913224,0.99314872,0.999984044,0.999999997,1,1,1,1,0.290887442
900,600,500,0.75,600,0.4,670.6766194,0.773994255,0.993165732,0.99998416,0.999999997,1,1,1,1,0.290887775
900,600,500,0.75,600,0.5,670.6758846,0.77396473,0.993180664,0.999984296,0.999999997,1,1,1,1,0.290887456
900,600,500,0.75,700,0.1,753.0069145,0.766731987,0.992369858,0.999980342,0.999999996,1,1,1,1,0.326596305
900,600,500,0.75,700,0.2,753.0069145,0.76677638,0.992369433,0.999980324,0.999999996,1,1,1,1,0.326596305
900,600,500,0.75,700,0.3,753.0069203,0.766710285,0.992376674,0.999980424,0.999999996,1,1,1,1,0.326596307
900,600,500,0.75,700,0.4,753.0073444,0.766890999,0.992388898,0.999980463,0.999999996,1,1,1,1,0.326596491
900,600,500,0.75,700,0.5,753.0069037,0.76697603,0.992401406,0.999980546,0.999999996,1,1,1,1,0.3265963
900,600,600,0.75,200,0.1,367.9650132,0.863733285,0.997996975,0.999998091,1,1,1,1,1,0.229816561
900,600,600,0.75,200,0.2,367.9736107,0.861700793,0.997713022,0.999997286,1,1,1,1,1,0.229821931
900,600,600,0.75,200,0.3,367.9643559,0.866248688,0.997873935,0.999997526,1,1,1,1,1,0.229816151
900,600,600,0.75,200,0.4,367.9703278,0.861568082,0.99768563,0.999997144,1,1,1,1,1,0.22981988
900,600,600,0.75,200,0.5,367.963225,0.867775531,0.997966297,0.999997767,1,1,1,1,1,0.229815444
900,600,600,0.75,300,0.1,446.9727577,0.849176782,0.997089099,0.999995692,1,1,1,1,1,0.279161709
900,600,600,0.75,300,0.2,446.9665603,0.849047553,0.997083132,0.999995685,1,1,1,1,1,0.279157839
900,600,600,0.75,300,0.3,446.9707159,0.849032104,0.997126947,0.999995879,1,1,1,1,1,0.279160434
900,600,600,0.75,300,0.4,446.9727956,0.848858092,0.997106205,0.999995844,1,1,1,1,1,0.279161733
900,600,600,0.75,300,0.5,446.9627722,0.855266469,0.997430552,0.999996639,1,1,1,1,1,0.279155473
900,600,600,0.75,400,0.1,525.9744888,0.863477035,0.997738642,0.999997259,1,1,1,1,1,0.328503102
900,600,600,0.75,400,0.2,525.9734765,0.863894402,0.997754653,0.999997291,1,1,1,1,1,0.32850247
900,600,600,0.75,400,0.3,525.9743352,0.848670327,0.997149557,0.999996055,1,1,1,1,1,0.328503006
900,600,600,0.75,400,0.4,525.9704684,0.848162658,0.997127701,0.999996005,1,1,1,1,1,0.328500591
900,600,600,0.75,400,0.5,525.9726859,0.855877335,0.997389867,0.999996454,1,1,1,1,1,0.328501976
900,600,600,0.75,500,0.1,604.9765599,0.850998282,0.997152303,0.999995882,1,1,1,1,1,0.377844707
900,600,600,0.75,500,0.2,604.9746035,0.852327148,0.997252773,0.999996214,1,1,1,1,1,0.377843485
900,600,600,0.75,500,0.3,604.9766991,0.852353578,0.997254477,0.999996219,1,1,1,1,1,0.377844794
900,600,600,0.75,500,0.4,604.9752356,0.852366089,0.997254705,0.99999622,1,1,1,1,1,0.37784388
900,600,600,0.75,500,0.5,604.9761483,0.851157865,0.997168453,0.999995944,1,1,1,1,1,0.37784445
900,600,600,0.75,600,0.1,683.9804299,0.841790813,0.996640204,0.99999445,0.999999999,1,1,1,1,0.427187435
900,600,600,0.75,600,0.2,683.9822955,0.842049889,0.99665832,0.999994514,0.999999999,1,1,1,1,0.4271886
900,600,600,0.75,600,0.3,683.9819127,0.842072258,0.996654909,0.999994492,0.999999999,1,1,1,1,0.427188361
900,600,600,0.75,600,0.4,683.978935,0.841827236,0.996640112,0.999994446,0.999999999,1,1,1,1,0.427186502
900,600,600,0.75,600,0.5,683.9807298,0.842753592,0.99675072,0.999994918,0.999999999,1,1,1,1,0.427187623
900,600,600,0.75,700,0.1,762.98503,0.835145088,0.996293622,0.999993562,0.999999999,1,1,1,1,0.47653062
900,600,600,0.75,700,0.2,762.9862976,0.83513568,0.996293781,0.999993566,0.999999999,1,1,1,1,0.476531411
900,600,600,0.75,700,0.3,762.9865793,0.834954963,0.996283759,0.999993537,0.999999999,1,1,1,1,0.476531587
900,600,600,0.75,700,0.4,762.98722,0.835037805,0.996206127,0.999993052,0.999999999,1,1,1,1,0.476531987
900,600,600,0.75,700,0.5,762.9857269,0.835127361,0.996289583,0.999993544,0.999999999,1,1,1,1,0.476531055
900,700,400,0.75,700,0.1,762.981547,0.626661886,0.976391786,0.999880484,0.999999959,1,1,1,1,0.21179042
900,700,400,0.75,700,0.2,762.9815437,0.626732253,0.976398953,0.99988053,0.999999959,1,1,1,1,0.211790419
900,700,400,0.75,700,0.3,762.9815405,0.626799699,0.976406116,0.99988058,0.999999959,1,1,1,1,0.211790418
900,700,400,0.75,700,0.4,762.9815375,0.62686239,0.97641264,0.999880623,0.999999959,1,1,1,1,0.211790417
900,700,400,0.75,700,0.5,762.9815346,0.626923442,0.976419263,0.999880669,0.999999959,1,1,1,1,0.211790416
900,700,500,0.75,400,0.1,525.9694641,0.770209978,0.993063355,0.999984042,0.999999997,1,1,1,1,0.228124975
900,700,500,0.75,400,0.2,525.9680072,0.770150956,0.993069013,0.999984113,0.999999997,1,1,1,1,0.228124343
900,700,500,0.75,400,0.3,525.9677579,0.770393529,0.993080237,0.999984125,0.999999997,1,1,1,1,0.228124235
900,700,500,0.75,400,0.4,525.9691963,0.770507419,0.993122508,0.999984431,0.999999998,1,1,1,1,0.228124859
900,700,500,0.75,400,0.5,525.9693608,0.77052587,0.993125295,0.999984451,0.999999998,1,1,1,1,0.22812493
900,700,500,0.75,500,0.1,604.9731858,0.757965223,0.991724622,0.999977448,0.999999996,1,1,1,1,0.262390694
900,700,500,0.75,500,0.2,604.9737528,0.757966318,0.991732135,0.999977527,0.999999996,1,1,1,1,0.26239094
900,700,500,0.75,500,0.3,604.9753058,0.758121454,0.991749383,0.999977626,0.999999996,1,1,1,1,0.262391614
900,700,500,0.75,500,0.4,604.9725963,0.758123863,0.991740779,0.999977547,0.999999996,1,1,1,1,0.262390438
900,700,500,0.75,500,0.5,604.9755882,0.758223563,0.991775,0.999977836,0.999999996,1,1,1,1,0.262391736
900,700,500,0.75,600,0.1,683.978267,0.749167104,0.990729937,0.999972423,0.999999994,1,1,1,1,0.296657003
900,700,500,0.75,600,0.2,683.9783779,0.749167304,0.990700337,0.999972103,0.999999994,1,1,1,1,0.296657051
900,700,500,0.75,600,0.3,683.9789892,0.749333483,0.990713625,0.999972156,0.999999994,1,1,1,1,0.296657316
900,700,500,0.75,600,0.4,683.9753691,0.749477333,0.990748649,0.999972467,0.999999994,1,1,1,1,0.296655746
900,700,500,0.75,600,0.5,683.9749662,0.749606594,0.990767474,0.999972602,0.999999994,1,1,1,1,0.296655571
